# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
10000       7.144857e-03   1.378957e+00   1.494128e-01 
40000       6.300787e-03   1.216052e+00   9.368984e-02 
70000       1.388761e-02   2.680309e+00   7.788555e-02 
100000      7.584830e-03   1.463872e+00   7.125442e-02 
130000      7.802753e-03   1.505931e+00   6.288134e-02 
160000      1.509432e-03   2.913203e-01   6.073053e-02 
190000      7.204441e-03   1.390457e+00   5.628659e-02 
220000      9.658045e-03   1.864003e+00   5.441854e-02 
250000      7.999492e-03   1.543902e+00   5.297954e-02 
280000      3.166085e-03   6.110544e-01   5.238594e-02 
310000      5.840431e-03   1.127203e+00   5.105440e-02 
340000      5.411187e-03   1.044359e+00   4.898983e-02 
370000      2.514998e-03   4.853947e-01   4.670537e-02 
400000      1.013093e-03   1.955269e-01   4.609747e-02 
430000      6.620542e-03   1.277765e+00   4.674430e-02 
460000      1.641455e-03   3.168008e-01   4.435330e-02 
490000      3.770954e-03   7.277941e-01   4.602615e-02 
520000      1.463440e-03   2.824439e-01   4.631137e-02 
550000      3.556005e-03   6.863091e-01   4.252473e-02 
580000      7.064037e-03   1.363359e+00   4.199333e-02 
610000      6.584497e-03   1.270808e+00   4.145230e-02 
640000      2.112059e-03   4.076274e-01   4.096107e-02 
670000      1.906649e-03   3.679833e-01   4.084513e-02 
700000      5.521604e-03   1.065670e+00   4.003241e-02 
730000      1.993002e-03   3.846493e-01   3.973531e-02 
760000      5.504647e-03   1.062397e+00   4.253695e-02 
790000      3.683402e-03   7.108967e-01   4.069145e-02 
820000      4.317338e-03   8.332464e-01   4.090037e-02 
850000      3.523655e-03   6.800654e-01   3.865572e-02 
880000      3.330645e-03   6.428144e-01   3.836287e-02 
910000      6.907610e-03   1.333169e+00   3.803317e-02 
940000      8.691805e-03   1.677518e+00   3.971623e-02 
970000      1.347439e-03   2.600557e-01   3.782782e-02 
1000000     1.231764e-03   2.377305e-01   3.687174e-02 
1030000     3.586852e-03   6.922624e-01   3.704239e-02 
1060000     2.848938e-03   5.498450e-01   4.908768e-02 
1090000     2.201335e-03   4.248577e-01   3.639312e-02 
1120000     2.000384e-03   3.860741e-01   3.624898e-02 
1150000     2.206919e-03   4.259353e-01   3.600040e-02 
1180000     3.505852e-03   6.766292e-01   3.553412e-02 
1210000     8.981706e-04   1.733469e-01   3.715377e-02 
1240000     5.866489e-03   1.132232e+00   3.552018e-02 
1270000     2.532613e-03   4.887944e-01   3.677612e-02 
1300000     2.003845e-03   3.867421e-01   3.521566e-02 
1330000     1.285791e-03   2.481577e-01   3.604873e-02 
1360000     3.782192e-03   7.299631e-01   3.693344e-02 
1390000     2.585120e-03   4.989281e-01   3.440445e-02 
1420000     6.043490e-04   1.166394e-01   3.537743e-02 
1450000     2.073854e-03   4.002539e-01   3.454648e-02 
1480000     1.188577e-03   2.293953e-01   3.392320e-02 
1510000     2.825185e-03   5.452608e-01   3.535763e-02 
1540000     1.267558e-03   2.446386e-01   3.553666e-02 
1570000     4.748969e-03   9.165509e-01   3.398746e-02 
1600000     4.106930e-03   7.926373e-01   3.345743e-02 
1630000     3.490042e-03   6.735781e-01   3.416411e-02 
1660000     1.935686e-03   3.735873e-01   3.697908e-02 
1690000     1.197788e-03   2.311731e-01   3.289057e-02 
1720000     2.701368e-03   5.213642e-01   3.303215e-02 
1750000     1.693158e-03   3.267794e-01   3.276648e-02 
1780000     2.901100e-03   5.599123e-01   3.282501e-02 
1810000     2.242624e-03   4.328264e-01   3.316415e-02 
1840000     1.597104e-03   3.082409e-01   3.251196e-02 
1870000     4.331535e-03   8.359863e-01   3.223057e-02 
1900000     1.499286e-03   2.893622e-01   3.246699e-02 
1930000     3.175887e-03   6.129460e-01   3.245098e-02 
1960000     1.429035e-03   2.758038e-01   3.301421e-02 
1990000     1.085291e-03   2.094612e-01   3.478787e-02 
2020000     6.010474e-03   1.160021e+00   3.459010e-02 
2050000     1.532480e-03   2.957687e-01   3.454977e-02 
2080000     2.360056e-03   4.554908e-01   3.194401e-02 
2110000     5.366777e-04   1.035788e-01   3.229604e-02 
2140000     2.579784e-03   4.978981e-01   3.243106e-02 
2170000     1.249988e-03   2.412477e-01   3.265754e-02 
2200000     1.536866e-03   2.966151e-01   3.112594e-02 
2230000     2.074071e-03   4.002957e-01   3.327312e-02 
2260000     2.304075e-03   4.446864e-01   3.099901e-02 
