# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
2290000     5.099277e-03   9.841604e-01   3.368788e-02 
2320000     1.535450e-03   2.963419e-01   3.126737e-02 
2350000     7.762337e-03   1.498131e+00   3.220573e-02 
2380000     1.153880e-03   2.226987e-01   3.081806e-02 
2410000     3.657441e-03   7.058861e-01   3.079764e-02 
2440000     4.926092e-03   9.507357e-01   3.096843e-02 
2470000     1.659310e-03   3.202468e-01   3.087207e-02 
2500000     3.823597e-03   7.379544e-01   3.140236e-02 
2530000     1.653982e-03   3.192185e-01   3.078805e-02 
2560000     1.726131e-03   3.331433e-01   3.061221e-02 
2590000     5.711846e-04   1.102387e-01   3.025001e-02 
2620000     3.276215e-03   6.323096e-01   3.056402e-02 
2650000     5.318465e-03   1.026464e+00   3.064426e-02 
2680000     4.586613e-03   8.852162e-01   3.005084e-02 
2710000     3.302916e-03   6.374628e-01   3.125801e-02 
2740000     2.660941e-03   5.135615e-01   3.020475e-02 
2770000     1.564391e-03   3.019275e-01   3.008694e-02 
2800000     3.000510e-03   5.790985e-01   3.030965e-02 
2830000     1.285292e-03   2.480614e-01   3.102233e-02 
2860000     2.019775e-03   3.898165e-01   3.023638e-02 
2890000     1.675030e-03   3.232807e-01   3.098143e-02 
2920000     3.813983e-03   7.360986e-01   3.089879e-02 
2950000     1.736608e-03   3.351654e-01   3.021070e-02 
2980000     2.192553e-03   4.231627e-01   2.956567e-02 
3010000     1.896594e-03   3.660426e-01   2.948801e-02 
3040000     4.406568e-03   8.504677e-01   2.932228e-02 
3070000     2.023685e-03   3.905711e-01   2.977110e-02 
3100000     4.844212e-04   9.349330e-02   2.933100e-02 
3130000     4.064762e-03   7.844989e-01   2.908382e-02 
3160000     4.643176e-04   8.961333e-02   3.024513e-02 
3190000     2.564931e-03   4.950318e-01   2.981278e-02 
3220000     2.285015e-03   4.410080e-01   3.037328e-02 
3250000     1.846601e-03   3.563939e-01   2.898494e-02 
3280000     1.479347e-03   2.855140e-01   2.931184e-02 
3310000     4.688438e-03   9.048686e-01   3.037852e-02 
3340000     3.235811e-03   6.245117e-01   3.012508e-02 
3370000     3.569284e-03   6.888717e-01   2.910963e-02 
3400000     9.010081e-04   1.738946e-01   2.985584e-02 
3430000     7.261043e-04   1.401381e-01   2.949824e-02 
3460000     3.456096e-03   6.670265e-01   2.937811e-02 
3490000     1.493524e-03   2.882500e-01   2.869510e-02 
3520000     2.303289e-03   4.445348e-01   2.856962e-02 
3550000     2.579726e-03   4.978870e-01   2.890057e-02 
3580000     2.125365e-03   4.101955e-01   3.456133e-02 
3610000     1.522774e-03   2.938953e-01   2.932209e-02 
3640000     2.142980e-03   4.135953e-01   2.857590e-02 
3670000     2.487286e-03   4.800461e-01   2.924006e-02 
3700000     2.366944e-03   4.568202e-01   2.842068e-02 
3730000     4.518804e-03   8.721292e-01   2.864216e-02 
3760000     8.949520e-04   1.727258e-01   2.827069e-02 
3790000     1.035993e-03   1.999466e-01   3.008268e-02 
3820000     1.897000e-03   3.661210e-01   2.893638e-02 
3850000     2.902461e-03   5.601749e-01   2.886264e-02 
3880000     8.818537e-04   1.701977e-01   2.941452e-02 
3910000     2.775998e-03   5.357676e-01   2.805220e-02 
3940000     1.521487e-03   2.936469e-01   3.018948e-02 
3970000     7.109052e-04   1.372047e-01   2.874804e-02 
4000000     2.966422e-03   5.725194e-01   2.792207e-02 
4030000     2.944244e-03   5.682391e-01   2.978666e-02 
4060000     8.049973e-04   1.553645e-01   2.897309e-02 
4090000     1.169042e-03   2.256251e-01   2.854825e-02 
4120000     2.133210e-03   4.117095e-01   2.766928e-02 
4150000     3.330561e-03   6.427984e-01   2.801077e-02 
4180000     2.155218e-03   4.159570e-01   2.820322e-02 
4210000     2.498522e-03   4.822147e-01   2.764737e-02 
4240000     8.254726e-04   1.593162e-01   2.773365e-02 
4270000     2.021828e-03   3.902127e-01   2.826755e-02 
4300000     1.722633e-03   3.324682e-01   2.795589e-02 
4330000     1.499338e-03   2.893722e-01   2.752688e-02 
4360000     8.737755e-04   1.686386e-01   2.766644e-02 
4390000     9.698687e-04   1.871847e-01   2.897483e-02 
4420000     2.195471e-03   4.237259e-01   2.760758e-02 
4450000     1.539670e-03   2.971564e-01   2.888845e-02 
4480000     1.017092e-03   1.962987e-01   2.822771e-02 
4510000     4.217867e-04   8.140485e-02   3.162722e-02 
4540000     1.628765e-03   3.143517e-01   2.812021e-02 
4570000     6.178399e-04   1.192431e-01   2.849115e-02 
4600000     7.863605e-04   1.517676e-01   2.789413e-02 
4630000     1.470208e-03   2.837501e-01   2.738553e-02 
4660000     2.186777e-03   4.220479e-01   2.797460e-02 
4690000     1.901222e-03   3.669358e-01   2.732590e-02 
4720000     1.383957e-03   2.671037e-01   2.733825e-02 
4750000     2.658037e-03   5.130011e-01   2.782903e-02 
4780000     1.328318e-03   2.563654e-01   2.690010e-02 
4810000     3.201525e-04   6.178946e-02   2.788883e-02 
4840000     2.882418e-03   5.563067e-01   2.690533e-02 
4870000     3.005591e-03   5.800788e-01   2.739606e-02 
4900000     3.525420e-03   6.804061e-01   2.725493e-02 
4930000     1.126207e-03   2.173579e-01   2.714871e-02 
4960000     1.506539e-03   2.907620e-01   2.719765e-02 
4990000     3.109241e-03   6.000835e-01   2.697109e-02 
5000000     3.538376e-04   6.829068e-02   2.741228e-02 
5001000     5.052196e-03   9.750738e-01   3.333551e-02 
5005000     3.596911e-03   6.942039e-01   3.160839e-02 
5006000     7.468668e-04   1.441453e-01   2.901219e-02 
5010000     2.072285e-03   3.999510e-01   2.880751e-02 
