# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
3310000     1.547662e-03   2.986987e-01   3.050278e-02 
3340000     3.784288e-03   7.303675e-01   2.809759e-02 
3370000     3.997849e-03   7.715849e-01   2.825223e-02 
3400000     1.287349e-03   2.484583e-01   2.827624e-02 
3430000     1.354464e-03   2.614115e-01   2.850495e-02 
3460000     3.788907e-04   7.312591e-02   3.040651e-02 
3490000     2.419404e-03   4.669450e-01   2.935813e-02 
3520000     8.075489e-04   1.558569e-01   2.872463e-02 
3550000     2.650967e-03   5.116367e-01   2.770722e-02 
3580000     2.431394e-03   4.692591e-01   2.821282e-02 
3610000     4.268110e-03   8.237453e-01   2.816524e-02 
3640000     2.586674e-03   4.992280e-01   2.857915e-02 
3670000     2.362769e-03   4.560144e-01   2.800396e-02 
3700000     9.952231e-04   1.920781e-01   2.849587e-02 
3730000     2.630325e-03   5.076528e-01   2.753079e-02 
3760000     1.012361e-03   1.953858e-01   2.765171e-02 
3790000     1.313478e-03   2.535013e-01   3.004043e-02 
3820000     9.398096e-04   1.813833e-01   2.849174e-02 
3850000     1.763326e-03   3.403219e-01   2.760664e-02 
3880000     1.019090e-03   1.966843e-01   2.762649e-02 
3910000     1.011023e-03   1.951275e-01   2.859621e-02 
3940000     2.153795e-03   4.156823e-01   2.728529e-02 
3970000     1.952721e-03   3.768751e-01   2.783662e-02 
4000000     1.189770e-03   2.296255e-01   2.836963e-02 
4030000     4.983557e-04   9.618267e-02   2.750351e-02 
4060000     4.982974e-04   9.617138e-02   2.847889e-02 
4090000     3.520996e-03   6.795523e-01   2.756528e-02 
4120000     7.377450e-04   1.423848e-01   2.846736e-02 
4150000     6.279642e-04   1.211971e-01   2.871372e-02 
4180000     1.130712e-03   2.182273e-01   2.695860e-02 
4210000     2.506633e-03   4.837803e-01   2.788547e-02 
4240000     1.876346e-03   3.621347e-01   2.684642e-02 
4270000     3.309901e-03   6.388109e-01   2.694602e-02 
4300000     1.392731e-03   2.687970e-01   2.747260e-02 
4330000     2.655687e-03   5.125476e-01   2.675139e-02 
4360000     2.300046e-03   4.439089e-01   2.674253e-02 
4390000     2.043762e-03   3.944460e-01   2.768988e-02 
4420000     1.200001e-03   2.316003e-01   2.709075e-02 
4450000     1.707040e-03   3.294588e-01   2.941198e-02 
4480000     6.126135e-04   1.182344e-01   2.705982e-02 
4510000     8.093670e-04   1.562079e-01   2.706556e-02 
4540000     4.973224e-04   9.598323e-02   2.708033e-02 
4570000     1.887933e-03   3.643711e-01   2.705228e-02 
4600000     1.315737e-03   2.539372e-01   2.653804e-02 
4630000     6.372315e-04   1.229857e-01   2.820359e-02 
4660000     1.457735e-03   2.813429e-01   2.722328e-02 
4690000     1.919431e-03   3.704503e-01   2.684046e-02 
4720000     7.474529e-04   1.442584e-01   2.737808e-02 
4750000     4.801185e-03   9.266287e-01   2.711439e-02 
4780000     8.449766e-04   1.630805e-01   2.739997e-02 
4810000     5.161844e-04   9.962358e-02   2.650982e-02 
4840000     1.096761e-03   2.116748e-01   2.846551e-02 
4870000     7.894702e-04   1.523677e-01   3.004155e-02 
4900000     1.626585e-03   3.139310e-01   2.770792e-02 
4930000     2.265451e-03   4.372321e-01   2.820067e-02 
4960000     3.603580e-04   6.954911e-02   2.751208e-02 
4990000     3.229627e-03   6.233179e-01   2.621515e-02 
5000000     6.959357e-04   1.343156e-01   2.647914e-02 
5001000     6.101516e-04   1.177593e-01   3.187249e-02 
5005000     3.514276e-04   6.782550e-02   3.034603e-02 
5006000     8.108024e-04   1.564849e-01   2.767949e-02 
5010000     6.491429e-04   1.252846e-01   2.819440e-02 
5011000     2.179692e-03   4.206805e-01   2.675305e-02 
5015000     2.664385e-03   5.142262e-01   2.700651e-02 
5016000     9.142488e-04   1.764500e-01   2.683913e-02 
5020000     2.570986e-03   4.962002e-01   2.730568e-02 
5021000     1.465306e-03   2.828041e-01   2.985438e-02 
5025000     2.663023e-04   5.139636e-02   2.886935e-02 
5026000     1.996571e-03   3.853382e-01   2.737997e-02 
5030000     1.206286e-03   2.328132e-01   2.806515e-02 
5031000     4.111955e-03   7.936074e-01   5.376567e-02 
5035000     4.351360e-03   8.398125e-01   4.944238e-02 
5036000     6.535214e-03   1.261296e+00   4.968769e-02 
5040000     6.331844e-03   1.222046e+00   4.622498e-02 
5041000     3.494560e-04   6.744500e-02   2.663408e-02 
5045000     2.237402e-03   4.318186e-01   2.661680e-02 
5046000     2.075556e-03   4.005823e-01   2.744462e-02 
5050000     8.804176e-04   1.699206e-01   2.741713e-02 
