# Step  E_PER_ATOM_RMSE  E_RMSE  F_RMSE
3310000     1.171218e-03   2.260451e-01   2.946551e-02 
3340000     1.627675e-03   3.141413e-01   2.965182e-02 
3370000     3.119461e-03   6.020560e-01   2.931070e-02 
3400000     1.472600e-03   2.842118e-01   2.859628e-02 
3430000     8.658243e-04   1.671041e-01   3.001748e-02 
3460000     9.920028e-04   1.914566e-01   2.996124e-02 
3490000     8.214366e-04   1.585373e-01   2.918278e-02 
3520000     1.289617e-03   2.488960e-01   2.984905e-02 
3550000     1.837669e-03   3.546702e-01   2.908338e-02 
3580000     1.010088e-03   1.949469e-01   3.054996e-02 
3610000     1.849267e-03   3.569084e-01   3.019486e-02 
3640000     3.896350e-03   7.519955e-01   2.934221e-02 
3670000     2.925963e-03   5.647109e-01   2.872811e-02 
3700000     4.879773e-04   9.417960e-02   2.913308e-02 
3730000     1.283269e-03   2.476709e-01   2.808542e-02 
3760000     9.948531e-04   1.920067e-01   2.883483e-02 
3790000     1.024044e-03   1.976406e-01   2.798217e-02 
3820000     1.669057e-03   3.221280e-01   2.826974e-02 
3850000     1.309923e-03   2.528151e-01   3.099285e-02 
3880000     9.453904e-04   1.824604e-01   2.793748e-02 
3910000     5.489137e-04   1.059403e-01   2.948400e-02 
3940000     1.390481e-03   2.683628e-01   2.801836e-02 
3970000     1.553560e-03   2.998371e-01   2.860392e-02 
4000000     2.688697e-03   5.189186e-01   3.003561e-02 
4030000     1.716288e-03   3.312435e-01   2.813781e-02 
4060000     3.433062e-03   6.625808e-01   2.778048e-02 
4090000     3.527827e-03   6.808705e-01   2.986749e-02 
4120000     3.184492e-03   6.146069e-01   2.784904e-02 
4150000     6.113357e-04   1.179878e-01   2.968694e-02 
4180000     3.275398e-03   6.321518e-01   2.803897e-02 
4210000     1.888670e-03   3.645134e-01   2.915602e-02 
4240000     2.075409e-03   4.005538e-01   2.793493e-02 
4270000     3.648612e-03   7.041821e-01   2.787751e-02 
4300000     2.488958e-03   4.803690e-01   2.813937e-02 
4330000     1.132643e-03   2.186000e-01   2.748447e-02 
4360000     3.442769e-03   6.644546e-01   2.960285e-02 
4390000     3.870849e-03   7.470738e-01   2.749876e-02 
4420000     1.054083e-03   2.034379e-01   2.821594e-02 
4450000     3.590641e-03   6.929938e-01   2.758602e-02 
4480000     2.978191e-03   5.747909e-01   2.752536e-02 
4510000     9.679206e-04   1.868087e-01   2.888172e-02 
4540000     1.683930e-03   3.249985e-01   2.871793e-02 
4570000     7.200937e-04   1.389781e-01   2.783208e-02 
4600000     4.126565e-03   7.964270e-01   2.729750e-02 
4630000     1.629932e-03   3.145767e-01   2.720227e-02 
4660000     4.551663e-03   8.784708e-01   2.772920e-02 
4690000     6.862829e-04   1.324526e-01   2.775800e-02 
4720000     4.174113e-04   8.056041e-02   2.740256e-02 
4750000     4.341564e-04   8.379217e-02   2.978835e-02 
4780000     3.450498e-03   6.659459e-01   2.708382e-02 
4810000     2.372155e-03   4.578260e-01   2.812180e-02 
4840000     1.672443e-03   3.227815e-01   2.687326e-02 
4870000     2.729634e-03   5.268193e-01   2.764773e-02 
4900000     1.381626e-03   2.666537e-01   2.741115e-02 
4930000     4.395373e-04   8.483069e-02   2.776567e-02 
4960000     1.429573e-03   2.759075e-01   2.805046e-02 
4990000     5.592876e-04   1.079425e-01   2.744356e-02 
5000000     3.861702e-04   7.453087e-02   3.065844e-02 
5001000     6.659443e-04   1.285273e-01   3.404881e-02 
5005000     2.066770e-03   3.988866e-01   3.395051e-02 
5006000     9.770483e-04   1.885704e-01   2.895126e-02 
5010000     8.716680e-04   1.682319e-01   2.966419e-02 
5011000     2.821755e-03   5.445988e-01   2.744873e-02 
5015000     2.739696e-03   5.287613e-01   2.751881e-02 
5016000     2.323325e-03   4.484017e-01   2.368464e-02 
5020000     1.531945e-03   2.956653e-01   2.400969e-02 
